Nombre Jugador,Fecha Nacimiento,Posicion,Posicion Secundaria,Equipo,Division,Video,Link Jugador,Valor de Mercado,Valor negociado,V Region,Nacionalidad,Extranjero,Valoracion
Brayan Cortés,11/03/1995,Portero,Portero,CSD Colo-Colo,Primera A Chile,,https://www.transfermarkt.es/brayan-cortes/profil/spieler/248352,"2,80 mill. €",,No,Chile,No,Predeterminado
Fernando de Paul,25/04/1991,Portero,Portero,CSD Colo-Colo,Primera A Chile,,https://www.transfermarkt.es/fernando-de-paul/profil/spieler/157766,"1,00 mill. €",,No,Chile,No,Predeterminado
Omar Carabalí,12/06/1997,Portero,Portero,CSD Colo-Colo,Primera A Chile,,https://www.transfermarkt.es/omar-carabali/profil/spieler/462231,250 mil €,,No,Chile,No,Predeterminado
Eduardo Villanueva,11/10/2004,Portero,Portero,CSD Colo-Colo,Primera A Chile,,https://www.transfermarkt.es/eduardo-villanueva/profil/spieler/964447,200 mil €,,No,Chile,No,Predeterminado
Julio Fierro,09/04/2002,Portero,Portero,CSD Colo-Colo,Primera A Chile,,https://www.transfermarkt.es/julio-fierro/profil/spieler/662733,50 mil €,,No,Chile,No,Predeterminado
Martín Ballesteros,04/05/2002,Portero,Portero,CSD Colo-Colo,Primera A Chile,,https://www.transfermarkt.es/martin-ballesteros/profil/spieler/844446,50 mil €,,No,Chile,No,Predeterminado
Emiliano Amor,16/05/1995,Defensa central,Defensa central,CSD Colo-Colo,Primera A Chile,,https://www.transfermarkt.es/emiliano-amor/profil/spieler/348273,"1,10 mill. €",,No,Siria,Si,Predeterminado
Maximiliano Falcón,01/05/1997,Defensa central,Lateral derecho,CSD Colo-Colo,Primera A Chile,,https://www.transfermarkt.es/maximiliano-falcon/profil/spieler/437993,900 mil €,,No,Uruguay,Si,Predeterminado
Jonathan Villagra,28/03/2001,Defensa central,Defensa central,CSD Colo-Colo,Primera A Chile,,https://www.transfermarkt.es/jonathan-villagra/profil/spieler/747716,800 mil €,,No,Chile,No,Predeterminado
Matías De los Santos,22/11/1992,Defensa central,Pivote,CSD Colo-Colo,Primera A Chile,,https://www.transfermarkt.es/matias-de-los-santos/profil/spieler/296445,650 mil €,,No,Uruguay,Si,Predeterminado
